experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
peak_aoi,baseline,7,periodic,5000,79.519,208.0,9.0916,39.0,1.0,7.056,39.0,1.5,7.189,27.0,2.0,6.4098,26.0,3.0,5.2472,25.0,5.0,39.0,2.0,6.282,0.00012188200000000001,0.02030052593909204
peak_aoi,baseline,7,greedy,5000,55.7977,209.5,9.0798,29.0,1.0,6.4622,23.0,1.5,5.2898,18.0,2.0,3.972,15.0,3.0,2.9058,17.0,5.0,29.0,2.0,4.055866666666667,0.0007103142,0.023640375002287328
peak_aoi,baseline,7,random,5000,99.4141,375.0,5.5138,36.0,1.0,6.2102,33.0,1.5,6.8742,41.0,2.0,7.9162,62.0,3.0,9.4176,65.0,5.0,65.0,2.0,8.069333333333333,0.0013368504,0.02713864902034402
peak_aoi,baseline,8,whittle,5000,51.7791,140.5,5.6372,18.0,1.0,4.8586,17.0,1.5,4.57,15.0,2.0,4.053,14.0,3.0,3.511,13.0,5.0,18.0,2.0,4.044666666666667,0.0029282022,0.03621005802415311
peak_aoi,baseline,8,round_robin,5000,69.1427,258.0,3.71,20.0,1.0,4.2134,30.0,1.5,4.8292,35.0,2.0,5.5764,45.0,3.0,6.545,45.0,5.0,45.0,2.0,5.650200000000001,0.000122757,0.020476969075389206
peak_aoi,baseline,8,periodic,5000,78.438,193.0,9.0578,52.0,1.0,6.5956,27.0,1.5,7.4774,38.0,2.0,6.528,27.0,3.0,4.9896,27.0,5.0,52.0,2.0,6.331666666666667,0.0001239446,0.020622894051484764
peak_aoi,baseline,8,greedy,5000,55.1658,156.0,8.8066,29.0,1.0,6.4644,21.0,1.5,5.226,18.0,2.0,3.9912,17.0,3.0,2.8474,11.0,5.0,29.0,2.0,4.021533333333333,0.0007081662,0.023299515014514327
peak_aoi,baseline,8,random,5000,96.8034,339.0,5.582,37.0,1.0,5.9284,37.0,1.5,6.5688,40.0,2.0,8.4914,52.0,3.0,8.7434,48.0,5.0,52.0,2.0,7.934533333333334,0.0013449388,0.026991773047484457
peak_aoi,baseline,9,whittle,5000,51.5149,194.0,5.6722,26.0,1.0,4.8246,20.0,1.5,4.5648,17.0,2.0,4.0614,17.0,3.0,3.4584,17.0,5.0,26.0,2.0,4.028200000000001,0.0029060277999999997,0.03603515401482582
peak_aoi,baseline,9,round_robin,5000,72.4927,253.0,3.79,25.0,1.0,4.0494,25.0,1.5,4.8382,30.0,2.0,5.3474,30.0,3.0,7.382,40.0,5.0,40.0,2.0,5.8558666666666666,0.0001220828,0.020617756061255932
peak_aoi,baseline,9,periodic,5000,79.126,223.0,9.2268,39.0,1.0,6.752,26.0,1.5,7.6242,52.0,2.0,6.2626,26.0,3.0,5.147,25.0,5.0,52.0,2.0,6.3446,0.00011961119999999999,0.02022660302463919
peak_aoi,baseline,9,greedy,5000,54.8259,214.5,8.8364,33.0,1.0,6.5078,25.0,1.5,5.189,18.0,2.0,3.9156,14.0,3.0,2.8206,17.0,5.0,33.0,2.0,3.9750666666666667,0.0007210414,0.023684347979724407
peak_aoi,baseline,9,random,5000,95.4024,307.5,5.826,32.0,1.0,6.2404,45.0,1.5,6.9962,67.0,2.0,7.2578,52.0,3.0,8.89,50.0,5.0,67.0,2.0,7.714666666666666,0.0013646808000000001,0.027895243023522198
peak_aoi,poor_links,0,whittle,5000,70.6509,239.0,7.5232,30.0,1.0,6.4422,28.0,1.5,6.1322,30.0,2.0,5.519,25.0,3.0,4.9286,20.0,5.0,30.0,2.0,5.526599999999999,0.0028980874,0.03593837597873062
peak_aoi,poor_links,0,round_robin,5000,112.6582,480.5,4.54,30.0,1.0,5.4844,30.0,1.5,6.6392,55.0,2.0,9.3844,55.0,3.0,11.692,90.0,5.0,90.0,2.0,9.238533333333333,0.00012364060000000002,0.02067793405149132
peak_aoi,poor_links,0,periodic,5000,103.3908,370.0,11.208,52.0,1.0,8.0564,39.0,1.5,9.548,52.0,2.0,8.2804,39.0,3.0,7.2322,52.0,5.0,52.0,2.0,8.353533333333333,0.0001239746,0.020359599962830544
peak_aoi,poor_links,0,greedy,5000,76.5,314.0,11.8592,44.0,1.0,8.8744,42.0,1.5,7.3114,32.0,2.0,5.4778,27.0,3.0,4.0546,24.0,5.0,44.0,2.0,5.6146,0.0007684915999999999,0.025792505010031164
peak_aoi,poor_links,0,random,5000,131.0418,492.5,6.9644,51.0,1.0,7.3128,48.0,1.5,8.9216,60.0,2.0,9.78,52.0,3.0,13.185,89.0,5.0,89.0,2.0,10.628866666666667,0.0013950406,0.02847991103772074
peak_aoi,poor_links,1,whittle,5000,68.2625,227.0,7.1966,30.0,1.0,6.3026,25.0,1.5,5.9914,33.0,2.0,5.2774,21.0,3.0,4.7594,21.0,5.0,33.0,2.0,5.3427333333333324,0.0028826398,0.0359281450510025
peak_aoi,poor_links,1,round_robin,5000,107.0367,438.0,4.535,25.0,1.0,5.2894,35.0,1.5,6.8992,40.0,2.0,8.0614,55.0,3.0,11.317,75.0,5.0,75.0,2.0,8.7592,0.0001229682,0.020467146998271346
peak_aoi,poor_links,1,periodic,5000,97.6672,274.0,10.714,65.0,1.0,7.8504,38.0,1.5,8.727,52.0,2.0,8.2072,40.0,3.0,6.6204,29.0,5.0,65.0,2.0,7.851533333333333,0.0001274516,0.021014199941419065
peak_aoi,poor_links,1,greedy,5000,72.9963,282.0,11.6118,42.0,1.0,8.2966,40.0,1.5,6.9658,34.0,2.0,5.261,26.0,3.0,3.845,22.0,5.0,42.0,2.0,5.357266666666667,0.0007040878,0.023247175035066903
peak_aoi,poor_links,1,random,5000,121.2046,420.5,6.5528,39.0,1.0,7.3484,52.0,1.5,8.0934,43.0,2.0,9.0808,44.0,3.0,12.04,70.0,5.0,70.0,2.0,9.738066666666667,0.001358682,0.027470095898024738
peak_aoi,poor_links,2,whittle,5000,69.9222,237.5,7.3804,33.0,1.0,6.3564,29.0,1.5,6.0032,27.0,2.0,5.4766,20.0,3.0,4.9142,20.0,5.0,33.0,2.0,5.464666666666667,0.0029035174,0.035819698008708656
peak_aoi,poor_links,2,round_robin,5000,104.6127,463.0,4.465,30.0,1.0,5.3614,25.0,1.5,6.8512,50.0,2.0,7.8844,40.0,3.0,10.95,80.0,5.0,80.0,2.0,8.561866666666667,0.0001224374,0.02052869100589305
peak_aoi,poor_links,2,periodic,5000,100.2569,340.0,11.0728,65.0,1.0,8.1258,51.0,1.5,9.408,52.0,2.0,8.0968,39.0,3.0,6.7778,39.0,5.0,65.0,2.0,8.094199999999999,0.000117212,0.02023473405279219
peak_aoi,poor_links,2,greedy,5000,72.9457,217.0,11.5162,37.0,1.0,8.5322,32.0,1.5,6.8602,24.0,2.0,5.2126,20.0,3.0,3.8546,18.0,5.0,37.0,2.0,5.3091333333333335,0.0007089819999999999,0.023154282942414284
peak_aoi,poor_links,2,random,5000,126.7853,551.0,6.6528,40.0,1.0,7.9566,52.0,1.5,8.4868,55.0,2.0,10.34,73.0,3.0,12.0408,97.0,5.0,97.0,2.0,10.2892,0.0013498030000000001,0.026994319981895387
peak_aoi,poor_links,3,whittle,5000,69.5246,231.0,7.4898,33.0,1.0,6.3452,26.0,1.5,5.991,24.0,2.0,5.405,21.0,3.0,4.864,21.0,5.0,33.0,2.0,5.420000000000001,0.0029059648000000003,0.036045048967935145
peak_aoi,poor_links,3,round_robin,5000,107.1217,390.5,4.595,20.0,1.0,5.8594,40.0,1.5,6.9792,55.0,2.0,8.0214,65.0,3.0,11.143,65.0,5.0,65.0,2.0,8.714533333333334,0.0001231598,0.02094904996920377
peak_aoi,poor_links,3,periodic,5000,100.8372,271.5,10.9844,65.0,1.0,7.6224,40.0,1.5,9.077,52.0,2.0,8.4804,40.0,3.0,6.9648,40.0,5.0,65.0,2.0,8.174066666666667,0.00011374639999999999,0.02012452099006623
peak_aoi,poor_links,3,greedy,5000,74.9635,244.0,11.8392,41.0,1.0,8.6982,35.0,1.5,6.9556,31.0,2.0,5.3946,28.0,3.0,3.9964,16.0,5.0,41.0,2.0,5.4488666666666665,0.0007070012,0.0231864060042426
peak_aoi,poor_links,3,random,5000,136.4372,535.5,7.176,39.0,1.0,7.3588,42.0,1.5,8.7496,54.0,2.0,10.9706,75.0,3.0,13.5624,82.0,5.0,82.0,2.0,11.0942,0.0014496156,0.028911205008625984
peak_aoi,poor_links,4,whittle,5000,68.9729,262.5,7.34,45.0,1.0,6.343,30.0,1.5,5.9506,24.0,2.0,5.3554,33.0,3.0,4.8302,21.0,5.0,45.0,2.0,5.378733333333334,0.002886996,0.03602443204727024
peak_aoi,poor_links,4,round_robin,5000,103.2912,563.0,4.475,25.0,1.0,5.5864,30.0,1.5,6.4072,45.0,2.0,8.0124,40.0,3.0,10.717,95.0,5.0,95.0,2.0,8.378866666666667,0.00011970999999999999,0.020401358022354543
peak_aoi,poor_links,4,periodic,5000,102.06,323.5,11.4108,65.0,1.0,8.0212,52.0,1.5,9.221,64.0,2.0,8.4698,50.0,3.0,6.9532,48.0,5.0,65.0,2.0,8.214666666666666,0.0001248902,0.020502293948084116
peak_aoi,poor_links,4,greedy,5000,73.4605,222.5,11.6116,44.0,1.0,8.5946,34.0,1.5,7.012,35.0,2.0,5.149,23.0,3.0,3.8972,16.0,5.0,44.0,2.0,5.352733333333333,0.0007039984,0.02328833204228431
peak_aoi,poor_links,4,random,5000,130.9624,488.0,5.9704,31.0,1.0,7.4012,59.0,1.5,9.326,93.0,2.0,9.7954,73.0,3.0,13.1704,85.0,5.0,93.0,2.0,10.763933333333334,0.0013458440000000001,0.026911652996204793
peak_aoi,poor_links,5,whittle,5000,67.6182,194.5,7.2402,26.0,1.0,6.2132,22.0,1.5,5.8188,20.0,2.0,5.3262,20.0,3.0,4.6884,20.0,5.0,26.0,2.0,5.2778,0.0029215,0.03609444305766374
peak_aoi,poor_links,5,round_robin,5000,103.4542,328.0,4.525,35.0,1.0,5.5364,40.0,1.5,6.6592,50.0,2.0,8.2704,50.0,3.0,10.499,55.0,5.0,55.0,2.0,8.4762,0.0001268484,0.020610388950444758
peak_aoi,poor_links,5,periodic,5000,98.9271,282.0,9.869,39.0,1.0,8.3222,52.0,1.5,9.0528,53.0,2.0,8.4284,52.0,3.0,6.6368,38.0,5.0,53.0,2.0,8.039333333333333,0.0001203652,0.020284747006371617
peak_aoi,poor_links,5,greedy,5000,74.2043,300.0,11.6702,41.0,1.0,8.7034,39.0,1.5,6.8454,25.0,2.0,5.4354,28.0,3.0,3.8964,21.0,5.0,41.0,2.0,5.392399999999999,0.0007081413999999999,0.023255358915776014
