slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
126,2,1,1,21.0,2,8,1
127,0,1,1,25.0,1,9,2
128,0,1,1,30.0,1,10,3
129,2,1,1,27.0,2,11,1
130,0,1,1,31.0,1,12,2
131,1,1,1,13.0,2,1,3
132,1,1,0,19.0,3,2,4
133,2,0,0,25.0,4,3,5
134,1,0,0,31.0,5,4,6
135,0,1,1,32.0,1,5,7
136,0,1,1,37.0,1,6,8
137,1,1,1,31.0,2,1,9
138,2,1,1,10.0,3,2,1
139,0,1,1,13.0,1,3,2
140,2,0,0,19.0,2,4,3
141,1,1,0,25.0,3,5,4
142,2,1,1,19.0,4,6,1
143,1,1,0,25.0,5,7,2
144,2,1,0,31.0,6,8,3
145,2,0,0,37.0,7,9,4
146,2,0,0,43.0,8,10,5
147,2,1,0,49.0,9,11,6
148,0,1,1,46.0,1,12,7
149,1,1,1,28.0,2,1,8
150,0,1,1,32.0,1,2,9
151,0,1,1,37.0,1,3,10
152,0,1,1,42.0,1,4,11
153,1,1,1,40.0,2,1,12
154,1,1,1,44.0,3,1,13
155,0,1,0,50.0,4,2,14
156,2,1,0,56.0,5,3,15
157,1,0,0,62.0,6,4,16
158,0,1,1,62.0,1,5,17
159,0,1,1,67.0,1,6,18
160,0,0,0,73.0,2,7,19
161,2,0,0,79.0,3,8,20
162,0,1,1,82.0,1,9,21
163,2,1,1,25.0,2,10,1
164,1,1,1,11.0,3,1,2
165,0,1,1,14.0,1,2,3
166,1,0,0,20.0,2,3,4
167,1,1,1,20.0,3,1,5
168,1,1,1,24.0,4,1,6
169,2,1,1,12.0,5,2,1
170,1,1,0,18.0,6,3,2
171,1,1,1,18.0,7,1,3
172,1,1,1,22.0,8,1,4
173,2,1,1,16.0,9,2,1
174,0,1,1,13.0,1,3,2
175,1,1,1,13.0,2,1,3
176,0,1,0,19.0,3,2,4
177,1,1,1,21.0,4,1,5
178,2,0,0,27.0,5,2,6
179,2,1,1,15.0,6,3,1
180,1,1,1,15.0,7,1,2
181,2,0,0,21.0,8,2,3
182,1,1,1,23.0,9,1,4
183,1,1,0,29.0,10,2,5
184,0,1,1,25.0,1,3,6
185,2,1,0,31.0,2,4,7
186,0,1,1,35.0,1,5,8
187,2,1,1,17.0,2,6,1
188,2,1,0,23.0,3,7,2
189,1,1,1,15.0,4,1,3
190,1,1,1,19.0,5,1,4
191,0,1,1,20.0,1,2,5
192,2,1,0,26.0,2,3,6
193,0,1,1,30.0,1,4,7
194,0,1,1,35.0,1,5,8
195,1,1,1,31.0,2,1,9
196,2,1,0,37.0,3,2,10
197,1,0,0,43.0,4,3,11
198,1,1,1,43.0,5,1,12
199,2,1,1,13.0,6,2,1
200,0,1,1,13.0,1,3,2
201,2,1,1,13.0,2,4,1
202,1,0,0,19.0,3,5,2
203,2,0,0,25.0,4,6,3
204,0,1,1,27.0,1,7,4
205,2,0,0,33.0,2,8,5
206,0,1,1,37.0,1,9,6
207,0,1,1,42.0,1,10,7
208,0,0,0,48.0,2,11,8
209,2,1,0,54.0,3,12,9
210,0,1,1,57.0,1,13,10
211,1,1,1,37.0,2,1,11
212,1,1,1,41.0,3,1,12
213,1,1,1,45.0,4,1,13
214,1,1,0,51.0,5,2,14
215,2,0,0,57.0,6,3,15
216,0,1,1,57.0,1,4,16
217,2,1,1,15.0,2,5,1
218,0,1,1,19.0,1,6,2
219,0,1,0,25.0,2,7,3
220,1,1,1,17.0,3,1,4
221,2,1,1,11.0,4,2,1
222,2,1,1,14.0,5,3,1
223,1,0,0,20.0,6,4,2
224,2,0,0,26.0,7,5,3
225,0,1,1,25.0,1,6,4
226,1,0,0,31.0,2,7,5
227,1,1,0,37.0,3,8,6
228,2,1,0,43.0,4,9,7
229,2,0,0,49.0,5,10,8
230,0,1,1,50.0,1,11,9
231,0,1,1,55.0,1,12,10
232,1,1,1,37.0,2,1,11
233,0,1,1,41.0,1,2,12
234,2,0,0,47.0,2,3,13
235,0,1,1,51.0,1,4,14
236,1,1,0,57.0,2,5,15
237,0,1,1,61.0,1,6,16
238,2,0,0,67.0,2,7,17
239,0,1,1,71.0,1,8,18
240,1,1,1,61.0,2,1,19
241,1,0,0,67.0,3,2,20
242,1,1,1,69.0,4,1,21
243,1,1,1,73.0,5,1,22
244,2,0,0,79.0,6,2,23
245,2,1,0,85.0,7,3,24
246,2,1,0,91.0,8,4,25
247,2,1,1,22.0,9,5,1
248,1,1,1,18.0,10,1,2
249,1,1,1,22.0,11,1,3
250,0,1,1,17.0,1,2,4
251,2,1,1,11.0,2,3,1
252,0,1,1,15.0,1,4,2
253,1,1,1,13.0,2,1,3
254,2,1,1,10.0,3,2,1
255,0,1,1,13.0,1,3,2
256,2,1,0,19.0,2,4,3
257,1,0,0,25.0,3,5,4
258,1,1,1,21.0,4,1,5
259,0,1,1,23.0,1,2,6
260,2,0,0,29.0,2,3,7
261,0,1,1,33.0,1,4,8
262,1,1,1,31.0,2,1,9
263,0,1,1,35.0,1,2,10
264,2,1,0,41.0,2,3,11
265,1,1,1,41.0,3,1,12
266,1,1,1,45.0,4,1,13
267,0,1,1,47.0,1,2,14
268,2,1,0,53.0,2,3,15
269,1,1,1,53.0,3,1,16
270,2,0,0,59.0,4,2,17
271,2,1,1,14.0,5,3,1
272,1,0,0,20.0,6,4,2
273,0,0,0,26.0,7,5,3
274,1,0,0,32.0,8,6,4
275,1,1,1,26.0,9,1,5
276,2,1,0,32.0,10,2,6
277,2,1,1,20.0,11,3,1
278,1,1,1,20.0,12,1,2
279,0,1,1,14.0,1,2,3
280,2,1,0,20.0,2,3,4
281,1,1,1,20.0,3,1,5
282,2,0,0,26.0,4,2,6
283,0,1,0,32.0,5,3,7
284,0,0,0,38.0,6,4,8
285,0,1,1,38.0,1,5,9
286,2,1,1,17.0,2,6,1
287,0,1,1,21.0,1,7,2
288,2,0,0,27.0,2,8,3
289,1,1,0,33.0,3,9,4
290,2,0,0,39.0,4,10,5
291,1,1,1,25.0,5,1,6
292,2,1,1,13.0,6,2,1
293,1,1,1,15.0,7,1,2
294,1,1,1,19.0,8,1,3
295,2,1,1,16.0,9,2,1
296,2,0,0,22.0,10,3,2
297,1,1,1,22.0,11,1,3
298,2,0,0,28.0,12,2,4
299,0,1,1,22.0,1,3,5
300,0,1,1,27.0,1,4,6
301,1,1,1,25.0,2,1,7
302,2,1,0,31.0,3,2,8
303,0,1,0,37.0,4,3,9
304,1,1,1,37.0,5,1,10
305,0,1,1,38.0,1,2,11
306,0,1,1,43.0,1,3,12
307,2,0,0,49.0,2,4,13
308,0,1,0,55.0,3,5,14
309,1,1,1,51.0,4,1,15
310,0,1,1,53.0,1,2,16
311,1,0,0,59.0,2,3,17
312,0,1,0,65.0,3,4,18
313,1,1,0,71.0,4,5,19
314,2,0,0,77.0,5,6,20
315,1,1,1,71.0,6,1,21
316,2,1,1,14.0,7,2,1
317,1,1,1,16.0,8,1,2
318,1,1,1,20.0,9,1,3
319,2,0,0,26.0,10,2,4
320,2,1,0,32.0,11,3,5
321,0,1,1,27.0,1,4,6
322,1,1,1,25.0,2,1,7
323,0,1,1,29.0,1,2,8
324,2,0,0,35.0,2,3,9
325,2,1,0,41.0,3,4,10
326,2,1,1,17.0,4,5,1
327,2,0,0,23.0,5,6,2
328,0,1,1,24.0,1,7,3
329,1,0,0,30.0,2,8,4
330,2,0,0,36.0,3,9,5
331,0,1,0,42.0,4,10,6
332,1,1,1,28.0,5,1,7
