slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
144,2,1,0,48.0,6,9,8
145,2,1,1,30.0,7,10,1
146,1,1,1,16.0,8,1,2
147,0,1,1,14.0,1,2,3
148,2,1,0,20.0,2,3,4
149,2,1,1,14.0,3,4,1
150,1,0,0,20.0,4,5,2
151,1,0,0,26.0,5,6,3
152,1,1,1,20.0,6,1,4
153,2,1,1,14.0,7,2,1
154,0,1,1,13.0,1,3,2
155,2,1,0,19.0,2,4,3
156,2,1,1,16.0,3,5,1
157,1,1,0,22.0,4,6,2
158,1,0,0,28.0,5,7,3
159,1,1,0,34.0,6,8,4
160,1,1,1,24.0,7,1,5
161,2,1,1,15.0,8,2,1
162,0,1,1,13.0,1,3,2
163,2,1,1,13.0,2,4,1
164,1,1,1,11.0,3,1,2
165,2,1,0,17.0,4,2,3
166,2,1,1,14.0,5,3,1
167,1,1,1,14.0,6,1,2
168,2,1,1,14.0,7,2,1
169,0,1,1,13.0,1,3,2
170,2,1,1,13.0,2,4,1
171,1,1,0,19.0,3,5,2
172,1,1,0,25.0,4,6,3
173,1,0,0,31.0,5,7,4
174,1,1,1,23.0,6,1,5
175,2,1,1,14.0,7,2,1
176,0,1,1,13.0,1,3,2
177,2,0,0,19.0,2,4,3
178,2,1,0,25.0,3,5,4
179,2,1,0,31.0,4,6,5
180,2,1,1,22.0,5,7,1
181,1,0,0,28.0,6,8,2
182,1,1,1,18.0,7,1,3
183,2,0,0,24.0,8,2,4
184,2,1,1,18.0,9,3,1
185,0,1,1,15.0,1,4,2
186,1,1,1,13.0,2,1,3
187,2,0,0,19.0,3,2,4
188,2,0,0,25.0,4,3,5
189,2,0,0,31.0,5,4,6
190,2,0,0,37.0,6,5,7
191,2,1,1,22.0,7,6,1
192,1,1,1,16.0,8,1,2
193,0,1,1,14.0,1,2,3
194,2,1,0,20.0,2,3,4
195,2,1,0,26.0,3,4,5
196,2,1,1,17.0,4,5,1
197,1,1,1,13.0,5,1,2
198,2,1,1,13.0,6,2,1
199,0,1,1,13.0,1,3,2
200,2,1,1,13.0,2,4,1
201,1,1,1,11.0,3,1,2
202,2,0,0,17.0,4,2,3
203,2,1,0,23.0,5,3,4
204,2,1,0,29.0,6,4,5
205,2,1,1,20.0,7,5,1
206,1,1,0,26.0,8,6,2
207,1,1,0,32.0,9,7,3
208,1,1,0,38.0,10,8,4
209,1,1,1,28.0,11,1,5
210,2,1,1,19.0,12,2,1
211,0,1,1,13.0,1,3,2
212,2,1,1,13.0,2,4,1
213,1,1,1,11.0,3,1,2
214,2,0,0,17.0,4,2,3
215,2,1,1,14.0,5,3,1
216,1,1,1,14.0,6,1,2
217,2,1,1,14.0,7,2,1
218,0,1,1,13.0,1,3,2
219,2,1,0,19.0,2,4,3
220,2,1,1,16.0,3,5,1
221,1,1,1,12.0,4,1,2
222,2,1,1,12.0,5,2,1
223,0,1,1,13.0,1,3,2
224,2,1,0,19.0,2,4,3
225,2,1,0,25.0,3,5,4
226,2,1,0,31.0,4,6,5
227,2,0,0,37.0,5,7,6
228,2,1,1,25.0,6,8,1
229,1,1,1,15.0,7,1,2
230,0,1,1,14.0,1,2,3
231,2,1,1,11.0,2,3,1
232,1,1,1,11.0,3,1,2
233,2,0,0,17.0,4,2,3
234,2,1,1,14.0,5,3,1
235,1,1,1,14.0,6,1,2
236,2,0,0,20.0,7,2,3
237,2,0,0,26.0,8,3,4
238,2,1,1,20.0,9,4,1
239,0,1,0,26.0,10,5,2
240,1,1,1,22.0,11,1,3
241,0,1,1,17.0,1,2,4
242,2,1,1,11.0,2,3,1
243,1,1,1,11.0,3,1,2
244,2,0,0,17.0,4,2,3
245,2,1,1,14.0,5,3,1
246,1,1,1,14.0,6,1,2
247,2,1,1,14.0,7,2,1
248,0,1,0,20.0,8,3,2
249,0,1,1,18.0,1,4,3
250,2,1,1,15.0,2,5,1
251,1,1,0,21.0,3,6,2
252,1,1,1,15.0,4,1,3
253,2,1,0,21.0,5,2,4
254,2,1,0,27.0,6,3,5
255,2,1,1,18.0,7,4,1
256,1,1,1,16.0,8,1,2
257,0,1,1,14.0,1,2,3
258,2,1,1,11.0,2,3,1
259,1,1,1,11.0,3,1,2
260,2,0,0,17.0,4,2,3
261,2,1,0,23.0,5,3,4
262,2,0,0,29.0,6,4,5
263,2,0,0,35.0,7,5,6
264,2,1,0,41.0,8,6,7
265,2,1,1,26.0,9,7,1
266,1,1,1,18.0,10,1,2
267,0,1,0,24.0,11,2,3
268,0,1,1,19.0,1,3,4
269,2,0,0,25.0,2,4,5
270,2,1,1,16.0,3,5,1
271,1,1,1,12.0,4,1,2
272,2,1,0,18.0,5,2,3
273,2,0,0,24.0,6,3,4
274,2,1,1,18.0,7,4,1
275,1,1,1,16.0,8,1,2
276,0,1,1,14.0,1,2,3
277,2,0,0,20.0,2,3,4
278,2,1,1,14.0,3,4,1
279,1,1,1,12.0,4,1,2
280,2,1,1,12.0,5,2,1
281,0,1,1,13.0,1,3,2
282,2,1,0,19.0,2,4,3
283,2,1,1,16.0,3,5,1
284,1,0,0,22.0,4,6,2
285,1,1,1,16.0,5,1,3
286,2,1,1,13.0,6,2,1
287,0,1,0,19.0,7,3,2
288,0,1,1,18.0,1,4,3
289,2,1,1,15.0,2,5,1
290,1,0,0,21.0,3,6,2
291,1,0,0,27.0,4,7,3
292,1,1,0,33.0,5,8,4
293,1,1,0,39.0,6,9,5
294,1,1,0,45.0,7,10,6
295,1,1,1,31.0,8,1,7
296,2,1,1,16.0,9,2,1
297,0,1,1,13.0,1,3,2
298,2,1,0,19.0,2,4,3
299,2,0,0,25.0,3,5,4
300,2,1,0,31.0,4,6,5
301,2,1,1,22.0,5,7,1
302,1,1,1,14.0,6,1,2
303,2,0,0,20.0,7,2,3
304,2,0,0,26.0,8,3,4
305,2,1,1,20.0,9,4,1
306,0,1,1,17.0,1,5,2
307,1,0,0,23.0,2,6,3
308,1,1,1,17.0,3,1,4
309,2,1,1,11.0,4,2,1
310,1,0,0,17.0,5,3,2
311,2,1,1,17.0,6,4,1
312,1,1,1,15.0,7,1,2
313,0,1,0,21.0,8,2,3
314,2,1,1,18.0,9,3,1
315,0,1,1,15.0,1,4,2
316,1,0,0,21.0,2,5,3
317,1,1,1,17.0,3,1,4
318,2,1,1,11.0,4,2,1
319,1,1,1,13.0,5,1,2
320,2,1,0,19.0,6,2,3
321,2,1,1,16.0,7,3,1
322,0,1,1,15.0,1,4,2
323,1,1,1,13.0,2,1,3
324,2,1,0,19.0,3,2,4
325,2,1,1,13.0,4,3,1
326,1,1,1,13.0,5,1,2
327,2,0,0,19.0,6,2,3
328,2,1,1,16.0,7,3,1
329,0,1,1,15.0,1,4,2
330,1,1,0,21.0,2,5,3
331,1,1,1,17.0,3,1,4
332,2,0,0,23.0,4,2,5
333,2,1,1,14.0,5,3,1
334,1,1,1,14.0,6,1,2
335,2,0,0,20.0,7,2,3
336,2,1,1,17.0,8,3,1
337,0,1,0,23.0,9,4,2
338,0,1,1,20.0,1,5,3
339,1,1,0,26.0,2,6,4
340,2,1,1,20.0,3,7,1
341,1,1,1,12.0,4,1,2
342,2,1,0,18.0,5,2,3
343,2,0,0,24.0,6,3,4
344,2,0,0,30.0,7,4,5
345,2,1,0,36.0,8,5,6
346,2,1,1,24.0,9,6,1
347,1,1,0,30.0,10,7,2
348,1,1,1,22.0,11,1,3
349,0,1,1,17.0,1,2,4
350,2,1,0,23.0,2,3,5
351,2,0,0,29.0,3,4,6
352,2,1,0,35.0,4,5,7
353,2,1,1,20.0,5,6,1
354,1,1,1,14.0,6,1,2
355,2,1,1,14.0,7,2,1
356,0,1,1,13.0,1,3,2
357,2,0,0,19.0,2,4,3
358,2,1,0,25.0,3,5,4
359,2,1,0,31.0,4,6,5
360,2,0,0,37.0,5,7,6
361,2,1,1,25.0,6,8,1
362,1,0,0,31.0,7,9,2
363,1,1,0,37.0,8,10,3
364,1,0,0,43.0,9,11,4
365,1,0,0,49.0,10,12,5
366,1,0,0,55.0,11,13,6
367,1,1,1,35.0,12,1,7
368,2,1,1,20.0,13,2,1
369,0,0,0,26.0,14,3,2
370,0,1,1,18.0,1,4,3
371,2,0,0,24.0,2,5,4
372,2,0,0,30.0,3,6,5
373,2,1,0,36.0,4,7,6
374,2,0,0,42.0,5,8,7
375,2,0,0,48.0,6,9,8
376,2,1,1,30.0,7,10,1
377,1,1,1,16.0,8,1,2
378,0,1,1,14.0,1,2,3
379,2,1,1,11.0,2,3,1
380,1,1,1,11.0,3,1,2
381,2,1,1,11.0,4,2,1
382,1,1,0,17.0,5,3,2
383,2,1,1,17.0,6,4,1
384,1,0,0,23.0,7,5,2
385,1,1,1,19.0,8,1,3
