slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
559,2,1,1,18.0,7,4,1
560,1,1,1,16.0,8,1,2
561,0,1,1,14.0,1,2,3
562,1,0,0,20.0,2,3,4
563,2,1,1,14.0,3,4,1
564,1,1,1,12.0,4,1,2
565,0,1,1,14.0,1,2,3
566,1,1,1,16.0,2,1,4
567,2,1,1,10.0,3,2,1
568,1,1,0,16.0,4,3,2
569,0,1,1,18.0,1,4,3
570,1,1,0,24.0,2,5,4
571,2,1,1,18.0,3,6,1
572,1,1,0,24.0,4,7,2
573,0,1,1,26.0,1,8,3
574,1,1,0,32.0,2,9,4
575,2,1,1,26.0,3,10,1
576,1,1,1,12.0,4,1,2
577,0,1,1,14.0,1,2,3
578,1,1,0,20.0,2,3,4
579,2,0,0,26.0,3,4,5
580,1,1,0,32.0,4,5,6
581,0,1,1,34.0,1,6,7
582,1,1,1,28.0,2,1,8
583,2,1,1,10.0,3,2,1
584,1,1,0,16.0,4,3,2
585,0,1,1,18.0,1,4,3
586,1,1,1,16.0,2,1,4
587,2,1,1,10.0,3,2,1
588,1,1,1,12.0,4,1,2
589,0,0,0,18.0,5,2,3
590,1,1,1,20.0,6,1,4
591,2,1,1,14.0,7,2,1
592,1,1,1,16.0,8,1,2
593,0,1,1,14.0,1,2,3
594,1,1,0,20.0,2,3,4
595,2,1,1,14.0,3,4,1
596,1,1,1,12.0,4,1,2
597,0,1,1,14.0,1,2,3
598,1,1,0,20.0,2,3,4
599,2,1,1,14.0,3,4,1
600,1,1,1,12.0,4,1,2
601,0,1,1,14.0,1,2,3
602,1,1,1,16.0,2,1,4
603,2,1,1,10.0,3,2,1
604,1,1,0,16.0,4,3,2
605,0,1,1,18.0,1,4,3
606,1,1,1,16.0,2,1,4
607,2,1,1,10.0,3,2,1
608,1,1,1,12.0,4,1,2
609,0,1,1,14.0,1,2,3
610,1,1,0,20.0,2,3,4
611,2,1,1,14.0,3,4,1
612,1,1,1,12.0,4,1,2
613,0,1,1,14.0,1,2,3
614,1,1,0,20.0,2,3,4
615,2,0,0,26.0,3,4,5
616,1,1,1,24.0,4,1,6
617,0,0,0,30.0,5,2,7
618,1,1,1,32.0,6,1,8
619,2,1,1,14.0,7,2,1
620,1,1,1,16.0,8,1,2
621,0,1,1,14.0,1,2,3
622,1,1,1,16.0,2,1,4
623,2,1,1,10.0,3,2,1
624,1,1,1,12.0,4,1,2
625,0,1,1,14.0,1,2,3
626,1,1,1,16.0,2,1,4
627,2,0,0,22.0,3,2,5
628,1,1,1,24.0,4,1,6
629,0,1,1,26.0,1,2,7
630,1,1,1,28.0,2,1,8
631,2,1,1,10.0,3,2,1
632,1,1,1,12.0,4,1,2
633,0,1,0,18.0,5,2,3
634,1,1,0,24.0,6,3,4
635,2,1,1,18.0,7,4,1
636,1,1,1,16.0,8,1,2
637,0,1,1,14.0,1,2,3
638,1,1,1,16.0,2,1,4
639,2,0,0,22.0,3,2,5
640,1,1,1,24.0,4,1,6
641,0,1,1,26.0,1,2,7
642,1,1,1,28.0,2,1,8
643,2,1,1,10.0,3,2,1
644,1,1,0,16.0,4,3,2
645,0,1,1,18.0,1,4,3
646,1,1,1,16.0,2,1,4
647,2,1,0,22.0,3,2,5
648,1,1,1,24.0,4,1,6
649,0,1,1,26.0,1,2,7
650,1,1,1,28.0,2,1,8
651,2,1,1,10.0,3,2,1
652,1,1,0,16.0,4,3,2
653,0,1,1,18.0,1,4,3
654,1,1,1,16.0,2,1,4
655,2,1,1,10.0,3,2,1
656,1,1,0,16.0,4,3,2
657,0,0,0,22.0,5,4,3
658,1,1,1,20.0,6,1,4
659,2,1,1,14.0,7,2,1
660,1,1,1,16.0,8,1,2
661,0,1,1,14.0,1,2,3
662,1,1,0,20.0,2,3,4
663,2,0,0,26.0,3,4,5
