experiment_name,scenario_name,strategy,slots_mean,average_weighted_aoi_mean,peak_weighted_aoi_mean,avg_aoi_0_mean,peak_aoi_0_mean,weight_0_mean,avg_aoi_1_mean,peak_aoi_1_mean,weight_1_mean,avg_aoi_2_mean,peak_aoi_2_mean,weight_2_mean,avg_aoi_3_mean,peak_aoi_3_mean,weight_3_mean,avg_aoi_4_mean,peak_aoi_4_mean,weight_4_mean,system_peak_aoi_mean,high_weight_threshold_mean,high_weight_avg_aoi_mean,avg_decision_time_ms_mean,total_runtime_s_mean,slots_std,average_weighted_aoi_std,peak_weighted_aoi_std,avg_aoi_0_std,peak_aoi_0_std,weight_0_std,avg_aoi_1_std,peak_aoi_1_std,weight_1_std,avg_aoi_2_std,peak_aoi_2_std,weight_2_std,avg_aoi_3_std,peak_aoi_3_std,weight_3_std,avg_aoi_4_std,peak_aoi_4_std,weight_4_std,system_peak_aoi_std,high_weight_threshold_std,high_weight_avg_aoi_std,avg_decision_time_ms_std,total_runtime_s_std,high_priority_weight
weight_sensitivity,high_w_4,greedy,3000.0,33.55586666666667,100.7,6.009733333333333,20.0,1.0,6.0126,20.5,1.0,6.019766666666667,19.8,1.0,6.026166666666667,20.1,1.0,2.3719,11.0,4.0,21.5,2.0,2.3719,0.0007105586333333333,0.014154375123325735,0.0,0.28820826574622027,12.058606884711018,0.052821880988006435,1.8973665961010275,0.0,0.049890279614369815,1.746424919657298,0.0,0.05226769769391271,1.9899748742132386,0.0,0.05825141867609552,2.467792535850613,0.0,0.03349827524581599,1.4832396974191326,0.0,2.156385865284783,0.0,0.03349827524581599,7.172131184042265e-06,9.636552919980177e-05,4.0
weight_sensitivity,high_w_4,periodic,3000.0,40.864133333333335,111.6,5.745866666666666,32.0,1.0,6.277733333333333,34.4,1.0,7.3129333333333335,40.8,1.0,8.481333333333334,47.2,1.0,3.261566666666667,17.0,4.0,48.8,2.0,3.261566666666667,0.00012115063333333333,0.01238999239867553,0.0,0.5809874965187399,8.799999999999999,0.21739074906209277,6.196773353931868,0.0,0.2464934887578168,8.039900496896712,0.0,0.461883987358057,6.645299090334459,0.0,0.546611054081826,8.352245207128439,0.0,0.07896399320083951,1.897366596101028,0.0,7.547184905645284,0.0,0.07896399320083951,3.5094134851852363e-06,0.00014987576010503832,4.0
weight_sensitivity,high_w_4,random,3000.0,58.9553,228.9,5.8074666666666666,38.5,1.0,6.1283,37.6,1.0,6.749366666666667,41.1,1.0,7.5277666666666665,44.8,1.0,8.185599999999999,50.3,4.0,53.5,2.0,8.185599999999999,0.0013505072,0.016361923003569246,0.0,1.6089036049434404,28.535767030167598,0.3238320277894425,7.74919350642375,0.0,0.2112102927837035,4.737087712930805,0.0,0.20503861153992972,8.092589202474077,0.0,0.37992186477397316,4.489988864128731,0.0,0.4715015918436663,7.128113354878695,0.0,4.609772228646443,0.0,0.4715015918436663,1.0732698419316531e-05,0.00013793299768098165,4.0
weight_sensitivity,high_w_4,round_robin,3000.0,42.90266666666666,171.0,3.706666666666667,19.5,1.0,4.1755,24.5,1.0,4.703666666666667,25.0,1.0,5.468833333333333,30.0,1.0,6.212,37.5,4.0,38.0,2.0,6.212,0.0001249111,0.012575917295180261,0.0,0.9560962875731234,13.084341787036903,0.06839428176227726,4.153311931459037,0.0,0.09711805530727362,2.692582403567252,0.0,0.1146855604589252,3.1622776601683786,0.0,0.1701869070561345,5.47722557505166,0.0,0.24037794315526456,2.5000000000000004,0.0,3.3166247903554,0.0,0.24037794315526456,4.504429908557919e-06,9.517981797923177e-05,4.0
weight_sensitivity,high_w_4,whittle,3000.0,31.3054,97.5,4.832,16.4,1.0,4.845133333333333,16.9,1.0,4.8771,17.4,1.0,4.8837,17.0,1.0,2.9668666666666668,12.1,4.0,18.3,2.0,2.9668666666666668,0.0029312368,0.022026953985914588,0.0,0.24772102588732153,10.171037311896953,0.03205065435282788,1.4282856857085695,0.0,0.028805940745308598,1.2206555615733703,0.0,0.03229862398169813,1.1999999999999995,0.0,0.038314618620051644,1.6733200530681511,0.0,0.03568167908356082,1.5132745950421556,0.0,1.1,0.0,0.03568167908356082,4.7403112942834426e-05,0.00041747486592318286,4.0
weight_sensitivity,high_w_6,greedy,3000.0,40.68353333333333,114.0,6.951533333333333,23.3,1.0,6.967366666666666,22.5,1.0,6.972733333333333,22.5,1.0,6.9529,22.3,1.0,2.1398333333333333,9.8,6.0,24.3,2.0,2.1398333333333333,0.0007140883,0.014263019897043705,0.0,0.394688462236005,12.320714265009151,0.0679390576587252,2.758622844826744,0.0,0.08345876560047809,2.0124611797498106,0.0,0.06650978207084372,1.8027756377319948,0.0,0.061519111754893746,1.2688577540449517,0.0,0.029210443337957068,1.16619037896906,0.0,2.238302928559939,0.0,0.029210443337957068,1.0005113876246842e-05,0.00016010626553188964,6.0
weight_sensitivity,high_w_6,periodic,3000.0,52.260333333333335,142.2,7.036666666666666,36.0,1.0,7.786666666666666,40.0,1.0,9.318,53.0,1.0,10.696000000000002,64.0,1.0,2.9038333333333335,15.7,6.0,67.0,2.0,2.9038333333333335,0.00012333796666666666,0.012523600982967764,0.0,1.084291320018134,19.767650340897877,0.23872345693058503,6.633249580710799,0.0,0.37163542469588223,8.94427190999916,0.0,0.6293467512693883,9.0,0.0,0.8154878567118238,16.24807680927192,0.0,0.042088861023104676,2.6851443164195103,0.0,14.177446878757824,0.0,0.042088861023104676,2.957081175190615e-06,0.0001467183451850601,6.0
weight_sensitivity,high_w_6,random,3000.0,75.52203333333333,320.4,5.691433333333333,38.7,1.0,6.3134999999999994,38.7,1.0,6.851699999999999,44.1,1.0,7.7848,49.3,1.0,8.146766666666668,49.3,6.0,58.0,2.0,8.146766666666668,0.0013536576999999999,0.01637475361349061,0.0,4.685780538442282,60.781905202124086,0.24872658125383804,6.3568860301251275,0.0,0.2138821196620024,5.23545604508337,0.0,0.4807713582243527,10.539924098398433,0.0,0.4815060216538198,7.4973328590906245,0.0,0.8046013650663706,10.630616162763099,0.0,8.221921916437786,0.0,0.8046013650663706,1.2953251390588276e-05,0.00016451590764669511,6.0
weight_sensitivity,high_w_6,round_robin,3000.0,54.30683333333334,217.5,3.7383333333333333,19.0,1.0,4.1579999999999995,21.5,1.0,4.71,24.0,1.0,5.532500000000001,34.0,1.0,6.0280000000000005,32.5,6.0,36.0,2.0,6.0280000000000005,0.00012310576666666668,0.012532342690974474,0.0,1.6800374417124042,24.315632831575655,0.08976822006330158,3.0000000000000004,0.0,0.09710589866509436,3.201562118716424,0.0,0.16668966507988559,2.9999999999999996,0.0,0.24651397300941968,6.6332495807108,0.0,0.30319942099035874,4.031128874149274,0.0,5.8309518948453,0.0,0.30319942099035874,3.4519577120172728e-06,0.00010024113182189863,6.0
weight_sensitivity,high_w_6,whittle,3000.0,37.015,111.0,5.112166666666667,16.5,1.0,5.126833333333333,17.2,1.0,5.149366666666667,16.8,1.0,5.163033333333333,16.6,1.0,2.7439333333333336,10.8,6.0,17.8,2.0,2.7439333333333336,0.0029319713,0.02209960101172328,0.0,0.2647101139821503,9.273618495495702,0.038043615320663894,1.4317821063276353,0.0,0.037736292581250996,1.5362291495737213,0.0,0.04159071744725949,0.9797958971132713,0.0,0.04323050620414573,0.6633249580710799,0.0,0.023548908915512527,0.9797958971132711,0.0,0.7483314773547883,0.0,0.023548908915512527,4.130530224060561e-05,0.00022621719686471734,6.0
weight_sensitivity,high_w_8,greedy,3000.0,47.20956666666667,137.5,7.679433333333333,24.7,1.0,7.6864333333333335,24.5,1.0,7.686233333333334,25.2,1.0,7.678533333333332,24.4,1.0,2.0598666666666667,9.2,8.0,26.6,2.0,2.0598666666666667,0.0007130124333333333,0.014166917686816305,0.0,0.8224059020810701,15.02165104108067,0.1523746151211982,1.9,0.0,0.14639748404031158,2.418677324489565,0.0,0.13928021714834043,2.521904042583698,0.0,0.13538645919490377,1.356465996625054,0.0,0.03569662293395394,1.077032961426901,0.0,1.9595917942265426,0.0,0.03569662293395394,9.98321629653158e-06,4.881038982277772e-05,8.0
weight_sensitivity,high_w_8,periodic,3000.0,62.507866666666665,169.6,8.190000000000001,40.8,1.0,9.424666666666667,54.0,1.0,10.7636,56.4,1.0,12.4648,70.8,1.0,2.7081,13.0,8.0,73.2,2.0,2.7081,0.00011985076666666666,0.012311085301917046,0.0,1.1515062908112028,16.72841893306118,0.22619814322845375,7.959899496852959,0.0,0.5568511470761279,8.049844718999243,0.0,0.5479976642285987,7.683749084919419,0.0,0.9029388462127437,9.967948635501688,0.0,0.04908361346835742,1.7888543819998317,0.0,8.400000000000002,0.0,0.04908361346835742,3.082884417950899e-06,6.760934414175128e-05,8.0
weight_sensitivity,high_w_8,random,3000.0,89.9414,427.2,5.704933333333333,34.9,1.0,6.2402,37.7,1.0,6.7841,44.2,1.0,7.374833333333333,45.3,1.0,7.979666666666667,51.0,8.0,56.6,2.0,7.979666666666667,0.0013603248333333333,0.016478410502895714,0.0,3.3739528640585528,76.96336790967506,0.21437670893390748,4.011234224026316,0.0,0.37312902743033954,6.261788881781308,0.0,0.44275651824049345,11.106754701531857,0.0,0.45671810537549057,7.2532751223154355,0.0,0.4257532670977926,9.402127418834526,0.0,8.039900496896715,0.0,0.4257532670977926,3.3703092457929997e-05,0.00033614435142006934,8.0
weight_sensitivity,high_w_8,round_robin,3000.0,68.20733333333334,319.8,3.7668333333333335,19.5,1.0,4.169,21.5,1.0,4.781499999999999,28.0,1.0,5.408666666666667,33.5,1.0,6.260166666666667,38.0,8.0,39.0,2.0,6.260166666666667,0.00012353653333333333,0.01254323370521888,0.0,2.473344137442711,33.843167700438414,0.08467404823465358,2.6925824035672514,0.0,0.16903155523944832,3.2015621187164243,0.0,0.24468125524172607,2.449489742783178,0.0,0.2146169714734706,8.674675786448736,0.0,0.3174012969937795,4.582575694955841,0.0,5.830951894845301,0.0,0.3174012969937795,2.7813762149139173e-06,0.0001179749197132763,8.0
weight_sensitivity,high_w_8,whittle,3000.0,42.4752,134.2,5.405033333333334,18.0,1.0,5.428066666666667,18.4,1.0,5.460166666666667,18.5,1.0,5.4670000000000005,18.3,1.0,2.589366666666667,10.7,8.0,19.4,2.0,2.589366666666667,0.0029398128666666664,0.02216115000192076,0.0,0.6849143855662212,12.448293055676352,0.08750967565551453,0.8944271909999159,0.0,0.09156452491124639,0.9165151389911679,0.0,0.10137403239708116,1.431782106327636,0.0,0.09223833861855435,1.1874342087037917,0.0,0.04143896448727676,1.004987562112089,0.0,1.019803902718557,0.0,0.04143896448727676,1.7315388799305393e-05,0.0001306045993621241,8.0
